config_1,config_2,mean_1,mean_2,t_statistic,p_value,cohens_d,significant
Freeze backbone,Freeze blocks 0-8 (BN frozen),0.9882002,0.5171474,311.42861306398044,1.458671284425484e-17,196.96474916588951,True
Freeze blocks 0-8,Freeze blocks 0-8 (BN frozen),0.9876061999999999,0.5171474,338.8425237000588,6.221660269857139e-17,214.30282860235408,True
Freeze transformer+proj,Freeze blocks 0-8 (BN frozen),0.9852292,0.5171474,273.1515126224246,9.201214039765719e-17,172.7561852414189,True
Freeze backbone+proj,Freeze blocks 0-8 (BN frozen),0.9875212000000001,0.5171474,353.63268596843886,3.727559223958316e-16,223.6569485486668,True
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-8 (BN frozen),0.9747876,0.5171474,242.1792753692185,1.8293516854759597e-15,153.1676224511692,True
Freeze blocks 0-11,Freeze blocks 0-8 (BN frozen),0.9878608,0.5171474,379.9183681196199,2.8160461091856124e-14,240.28147363846014,True
Freeze blocks 0-11,Freeze none (BN frozen),0.9878608,0.518251,833.879165046505,1.2408937442028447e-11,527.3914909812847,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-8 (BN frozen),0.9641766,0.5171474,166.48255837031027,1.689187533723952e-11,105.29281502842208,True
Freeze blocks 0-5,Freeze blocks 0-8 (BN frozen),0.982428,0.5171474,163.73903606915255,3.7501211787630045e-11,103.55765917179713,True
Freeze backbone+proj,Freeze none (BN frozen),0.9875212000000001,0.518251,632.0256659327022,3.760149762255928e-11,399.72812880640544,True
Freeze blocks 0-8,Freeze none (BN frozen),0.9876061999999999,0.518251,557.0997338873118,6.228882199466355e-11,352.340808591519,True
Freeze backbone,Freeze none (BN frozen),0.9882002,0.518251,454.34068295321475,1.4080261433281614e-10,287.3502783617191,True
Freeze transformer+proj,Freeze none (BN frozen),0.9852292,0.518251,356.2115504445248,3.726459812049987e-10,225.28796565293254,True
Freeze backbone+proj+blocks 0-3,Freeze none (BN frozen),0.9747876,0.518251,297.6255333390574,7.646062067785756e-10,188.2349150347601,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-8 (BN frozen),0.924703,0.5171474,117.99712885383852,1.192431744010315e-09,74.62793690770064,True
Freeze backbone+proj+blocks 0-5,Freeze none (BN frozen),0.9641766,0.518251,182.16907478792686,5.4471006402138335e-09,115.21383911508076,True
Freeze blocks 0-5,Freeze none (BN frozen),0.982428,0.518251,177.2656094903536,6.075208171180061e-09,112.11261536149541,True
Freeze blocks 0-3,Freeze blocks 0-8 (BN frozen),0.9822579999999999,0.5171474,103.91517223463052,8.355130272665851e-09,65.7217255420243,True
Freeze none,Freeze blocks 0-3 (BN frozen),0.976146,0.5286924000000001,37.890258462474954,1.910634752941628e-08,23.963903574778087,True
Freeze backbone+proj+blocks 0-8,Freeze none (BN frozen),0.924703,0.518251,124.18752339310981,2.5214576439702745e-08,78.54308617953383,True
Freeze transformer,Freeze blocks 0-3 (BN frozen),0.9827674,0.5286924000000001,38.923242068871836,2.6016561256030644e-08,24.61721977114389,True
Freeze transformer,Freeze blocks 0-8 (BN frozen),0.9827674,0.5171474,87.54400730701377,3.0491523498270363e-08,55.36769171771741,True
Freeze blocks 0-3,Freeze none (BN frozen),0.9822579999999999,0.518251,106.97125480274102,4.579624915549541e-08,67.65456186857747,True
Freeze none,Freeze blocks 0-8 (BN frozen),0.976146,0.5171474,81.58472825680565,4.718220614029529e-08,51.598712715480886,True
Freeze blocks 0-3,Freeze blocks 0-3 (BN frozen),0.9822579999999999,0.5286924000000001,40.115261019258554,7.847334401513461e-08,25.371118750604953,True
Freeze transformer,Freeze none (BN frozen),0.9827674,0.518251,89.27957616794158,9.435819447921512e-08,56.46536184503659,True
Freeze none,Freeze none (BN frozen),0.976146,0.518251,83.0011132296191,1.2629769695669173e-07,52.49451322702611,True
Freeze none,Freeze backbone+proj+blocks 0-11,0.976146,0.6902378,23.960038681670504,3.312770821196457e-07,15.15365901196337,True
Freeze transformer,Freeze backbone+proj+blocks 0-11,0.9827674,0.6902378,24.8097319546979,3.9218097258065505e-07,15.691052223021348,True
Freeze blocks 0-5,Freeze blocks 0-3 (BN frozen),0.982428,0.5286924000000001,42.15017608870767,5.083102090171565e-07,26.65811204349673,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-3 (BN frozen),0.924703,0.5286924000000001,36.19069381179188,5.149250109303489e-07,22.889004509404696,True
Freeze none,Freeze backbone+proj+transformer,0.976146,0.68455,23.09225320695479,6.389449266978809e-07,14.60482328786095,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-3 (BN frozen),0.9641766,0.5286924000000001,40.606483177108,7.057380347181889e-07,25.68179492179435,True
Freeze transformer,Freeze backbone+proj+transformer,0.9827674,0.68455,23.86973500711533,7.426452512995178e-07,15.096545953427986,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-3,0.6902378,0.9822579999999999,-25.536283120272316,9.251652530301893e-07,-16.150563526994407,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-5,0.924703,0.982428,-13.771966257113359,1.1558209912189854e-06,-8.710156246292462,True
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-3 (BN frozen),0.9747876,0.5286924000000001,42.269993691436255,1.1851656308702562e-06,26.733891349177437,True
Freeze transformer+proj,Freeze blocks 0-3 (BN frozen),0.9852292,0.5286924000000001,43.383111827387076,1.2039859195284966e-06,27.437889072066547,True
Freeze backbone,Freeze blocks 0-3 (BN frozen),0.9882002,0.5286924000000001,43.79389591059734,1.3158458454056027e-06,27.697691737964266,True
Freeze blocks 0-8,Freeze blocks 0-3 (BN frozen),0.9876061999999999,0.5286924000000001,43.80898701345599,1.4107298518380617e-06,27.707236189451706,True
Freeze backbone+proj,Freeze blocks 0-3 (BN frozen),0.9875212000000001,0.5286924000000001,43.832543810118196,1.4524376563795788e-06,27.72213481581771,True
Freeze blocks 0-11,Freeze blocks 0-3 (BN frozen),0.9878608,0.5286924000000001,43.91192585538751,1.5102291763511656e-06,27.772340429492434,True
Freeze backbone+proj+transformer,Freeze blocks 0-3,0.68455,0.9822579999999999,-24.485239280848248,1.597433663435863e-06,-15.485825036340737,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-5,0.6902378,0.982428,-26.806217200107824,3.980523603981277e-06,-16.95374036110447,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-3 (BN frozen),0.6902378,0.5286924000000001,10.867258923788635,4.553183139937254e-06,6.873058024392452,True
Freeze backbone+proj+transformer,Freeze blocks 0-5,0.68455,0.982428,-25.5546120395341,5.638180534308782e-06,-16.162155753377714,True
Freeze backbone+proj+blocks 0-5,Freeze backbone+proj+blocks 0-11,0.9641766,0.6902378,25.223745950215434,5.933681524670818e-06,15.952897664825779,True
Freeze backbone+proj+blocks 0-8,Freeze backbone+proj+blocks 0-11,0.924703,0.6902378,21.169688261065318,6.834604144975669e-06,13.388886452139127,True
Freeze transformer+proj,Freeze backbone+proj+blocks 0-11,0.9852292,0.6902378,27.66808441176527,7.716406302048342e-06,17.498833046995657,True
Freeze backbone,Freeze backbone+proj+blocks 0-11,0.9882002,0.6902378,28.02683002119355,8.11936209340039e-06,17.725723692271366,True
Freeze transformer+proj,Freeze backbone+proj+blocks 0-8,0.9852292,0.924703,17.167245931559727,8.15190042335186e-06,10.857519659197564,True
Freeze backbone+proj+transformer,Freeze backbone+proj+blocks 0-5,0.68455,0.9641766,-24.06554344201706,8.187101848091231e-06,-15.22038608130044,True
Freeze backbone+proj+blocks 0-3,Freeze backbone+proj+blocks 0-11,0.9747876,0.6902378,26.61458205538489,8.19758619732208e-06,16.832539653692372,True
Freeze backbone+proj+transformer,Freeze blocks 0-3 (BN frozen),0.68455,0.5286924000000001,10.101884298629267,8.277649635741579e-06,6.38899260863221,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-8,0.6902378,0.9876061999999999,-28.01562045493262,8.61599601087637e-06,-17.718634140077942,True
