config,label,mean_acc,std_acc,mean_f1_fire,std_f1_fire,n_seeds,mean_trainable_pct
freeze_backbone,Freeze backbone,0.9882002,0.002312886335296223,0.98858,0.002248777445635733,5,90.96
freeze_blocks0-11,Freeze blocks 0-11,0.9878608,0.0012592705031088266,0.98824,0.0012239281024635275,5,10.03
freeze_blocks0-8,Freeze blocks 0-8,0.9876061999999999,0.0018838819495923512,0.9880000000000001,0.0018479718612576246,5,32.53
freeze_backbone_proj,Freeze backbone+proj,0.9875212000000001,0.0016602491379308212,0.9879200000000001,0.0016452963258938738,5,90.13
freeze_transformer_proj,Freeze transformer+proj,0.9852292,0.002931390062751802,0.9856999999999999,0.0028381331892636686,5,9.04
freeze_transformer_only,Freeze transformer,0.9827674,0.011634130577744107,0.98328,0.01131202899571954,5,9.87
freeze_blocks0-5,Freeze blocks 0-5,0.982428,0.005855232318191994,0.9829800000000001,0.005713755332528684,5,55.02
freeze_blocks0-3,Freeze blocks 0-3,0.9822579999999999,0.009699345828456697,0.98278,0.009536089345219045,5,70.01
freeze_none,Freeze none,0.976146,0.012335790529998471,0.97696,0.0118689932176238,5,100.0
freeze_backbone_proj_blocks0-3,Freeze backbone+proj+blocks 0-3,0.9747876,0.0034299707433154713,0.9755800000000001,0.0033071135450721957,5,59.98
freeze_backbone_proj_blocks0-5,Freeze backbone+proj+blocks 0-5,0.9641766,0.005473596194459368,0.9649599999999999,0.005594908399607657,5,44.99
freeze_backbone_proj_blocks0-8,Freeze backbone+proj+blocks 0-8,0.924703,0.007318402660417091,0.9256,0.007450838878945142,5,22.49
freeze_backbone_proj_blocks0-11,Freeze backbone+proj+blocks 0-11,0.6902378,0.02365958887428098,0.70326,0.02056278191296107,5,0.0
freeze_transformer_proj_bnfrozen,Freeze transformer+proj (BN frozen),0.6883699999999999,0.16775588939289138,0.7690400000000001,0.11848659417841327,5,9.01
freeze_backbone_proj_transformer,Freeze backbone+proj+transformer,0.68455,0.025398607205907947,0.69874,0.02180454081149155,5,0.0
freeze_transformer_only_bnfrozen,Freeze transformer (BN frozen),0.6102714,0.20576386971672164,0.74196,0.13250938834663753,5,9.84
freeze_blocks0-11_bnfrozen,Freeze blocks 0-11 (BN frozen),0.5994056,0.12805231236022252,0.71832,0.05964496625868777,5,10.0
freeze_blocks0-5_bnfrozen,Freeze blocks 0-5 (BN frozen),0.565195,0.1049699751357501,0.70434,0.04838851103309549,5,54.98
freeze_blocks0-3_bnfrozen,Freeze blocks 0-3 (BN frozen),0.5286924000000001,0.023347680180266304,0.68198,0.0016099689437998202,5,69.98
freeze_none_bnfrozen,Freeze none (BN frozen),0.518251,0.0,0.6827,0.0,5,99.97
freeze_blocks0-8_bnfrozen,Freeze blocks 0-8 (BN frozen),0.5171474,0.0024677246199687783,0.5856,0.21712220061522958,5,32.49
