config_1,config_2,mean_1,mean_2,t_statistic,p_value,cohens_d,significant
Freeze conv1+L1-3,Freeze conv1+L1-4,0.9872665999999999,0.9662986,10.113321958396236,1.72973094214727e-05,6.396226419825348,True
Freeze conv1+L1,Freeze conv1+L1-4,0.9856536,0.9662986,9.76657172254047,3.895828112520998e-05,6.176922314924386,True
Freeze conv1,Freeze conv1+L1-4,0.9853988000000001,0.9662986,10.107397959554003,6.903514546920456e-05,6.392479753985817,True
Freeze conv1+L1-2,Freeze conv1+L1-4,0.987012,0.9662986,11.592606620631761,0.00010577499177512402,7.331808187908774,True
Freeze conv1,Freeze conv1+L1-2,0.9853988000000001,0.987012,-1.632383497911486,0.14689266224073824,-1.0324099736546017,False
Freeze conv1,Freeze conv1+L1-3,0.9853988000000001,0.9872665999999999,-1.2942600560326336,0.2359165441053991,-0.8185619323280544,False
Freeze conv1+L1,Freeze conv1+L1-2,0.9856536,0.987012,-1.1765793513066902,0.2829854298258149,-0.7441341196105098,False
Freeze conv1+L1,Freeze conv1+L1-3,0.9856536,0.9872665999999999,-1.0328356420050928,0.3325665059771767,-0.6532226154676741,False
Freeze none,Freeze conv1+L1-3,0.9650256,0.9872665999999999,-1.003238502980819,0.3722117921674956,-0.6345037411594024,False
Freeze none,Freeze conv1+L1-2,0.9650256,0.987012,-0.9928719223605261,0.376908421443291,-0.627947339897825,False
Freeze none,Freeze conv1+L1,0.9650256,0.9856536,-0.9308315225501588,0.4044260785339264,-0.5887095458281772,False
Freeze none,Freeze conv1,0.9650256,0.9853988000000001,-0.91966744531362,0.40965471452187335,-0.581648763419877,False
Freeze conv1,Freeze conv1+L1,0.9853988000000001,0.9856536,-0.19476869551999623,0.8506352533698865,-0.12318253894860424,False
Freeze conv1+L1-2,Freeze conv1+L1-3,0.987012,0.9872665999999999,-0.19503034483015053,0.8522165693630133,-0.12334802050226411,False
Freeze none,Freeze conv1+L1-4,0.9650256,0.9662986,-0.05733524324569063,0.9569974401871553,-0.03626199177123349,False
