config_1,config_2,mean_1,mean_2,t_statistic,p_value,cohens_d,significant
Freeze patch,Freeze patch+0-8,0.9640916,0.9932088,-20.719921478845336,3.236229635113507e-07,-13.104428962599115,True
Freeze patch,Freeze patch+0-3,0.9640916,0.9869269999999999,-14.641438474498386,6.673575112794671e-07,-9.260058760127208,True
Freeze patch,Freeze patch+0-5,0.9640916,0.9910017999999999,-20.356244542953064,1.9456767564573464e-06,-12.87441947262099,True
Freeze patch+0-5,Freeze patch+0-11,0.9910017999999999,0.9832766000000002,11.749867995475343,6.913543913804719e-06,7.431269014403819,True
Freeze patch+0-8,Freeze patch+0-11,0.9932088,0.9832766000000002,12.23049355131353,1.907172316553567e-05,7.7352433060304415,True
Freeze patch,Freeze patch+0-11,0.9640916,0.9832766000000002,-15.218906680492823,3.277595385200647e-05,-9.62528172158195,True
Freeze patch+0-3,Freeze patch+0-8,0.9869269999999999,0.9932088,-5.124211677665842,0.0011873858710475889,-3.2408360228513247,True
Freeze patch+0-3,Freeze patch+0-5,0.9869269999999999,0.9910017999999999,-3.6078108331213916,0.010614597361402361,-2.281779919938649,True
Freeze patch+0-3,Freeze patch+0-11,0.9869269999999999,0.9832766000000002,3.453677363659316,0.01762056126442178,2.1842973545058157,True
Freeze patch+0-5,Freeze patch+0-8,0.9910017999999999,0.9932088,-2.4402791967827007,0.04280161738624651,-1.5433680777119143,True
Freeze none,Freeze patch+0-8,0.9360782000000001,0.9932088,-2.3447339353908143,0.07885368525554162,-1.4829399485850123,False
Freeze none,Freeze patch+0-5,0.9360782000000001,0.9910017999999999,-2.2545865014696664,0.08713464328130004,-1.425925705302942,False
Freeze none,Freeze patch+0-3,0.9360782000000001,0.9869269999999999,-2.0861145469659244,0.10506319783210162,-1.3193746856845245,False
Freeze none,Freeze patch+0-11,0.9360782000000001,0.9832766000000002,-1.9377296064846425,0.12466949604660178,-1.22552780920665,False
Freeze none,Freeze patch,0.9360782000000001,0.9640916,-1.1488169693449268,0.31436722894815533,-0.7265756475563608,False
